# Cells -> N,Point Set,x * x + y * y,Distance
1,(0. 0) ,0 ,0 
2,(0. 0) (0. 1) ,0 1 ,0 1 
3,(0. 0) (1. 0) (0. 1) ,0 1 1 ,0 1 1 
3,(0. -1) (0. 0) (0. 1) ,1 0 1 ,1 0 1 
4,(0. -1) (0. 0) (1. 0) (0. 1) ,1 0 1 1 ,1 0 1 1 
4,(0. 0) (1. 0) (0. 1) (1. 1) ,0 1 1 2 ,0 1 1 1.41421 
4,(0. 0) (1. 0) (2. 0) (0. 1) ,0 1 4 1 ,0 1 2 1 
4,(1. -1) (0. 0) (1. 0) (0. 1) ,2 0 1 1 ,1.41421 0 1 1 
4,(0. -2) (0. -1) (0. 0) (0. 1) ,4 1 0 1 ,2 1 0 1 
5,(0. -1) (1. -1) (0. 0) (1. 0) (0. 1) ,1 2 0 1 1 ,1 1.41421 0 1 1 
5,(0. -2) (0. -1) (0. 0) (1. 0) (0. 1) ,4 1 0 1 1 ,2 1 0 1 1 
5,(-1. -1) (0. -1) (0. 0) (1. 0) (0. 1) ,2 1 0 1 1 ,1.41421 1 0 1 1 
5,(0. -1) (-1. 0) (0. 0) (1. 0) (0. 1) ,1 1 0 1 1 ,1 1 0 1 1 
5,(0. -1) (0. 0) (1. 0) (2. 0) (0. 1) ,1 0 1 4 1 ,1 0 1 2 1 
5,(0. 0) (1. 0) (2. 0) (0. 1) (2. 1) ,0 1 4 1 5 ,0 1 2 1 2.23607 
5,(0. 0) (1. 0) (2. 0) (3. 0) (0. 1) ,0 1 4 9 1 ,0 1 2 3 1 
5,(2. -1) (0. 0) (1. 0) (2. 0) (0. 1) ,5 0 1 4 1 ,2.23607 0 1 2 1 
5,(0. 0) (1. 0) (2. 0) (0. 1) (0. 2) ,0 1 4 1 4 ,0 1 2 1 2 
5,(0. 0) (1. 0) (2. 0) (-1. 1) (0. 1) ,0 1 4 2 1 ,0 1 2 1.41421 1 
5,(1. -1) (2. -1) (0. 0) (1. 0) (0. 1) ,2 5 0 1 1 ,1.41421 2.23607 0 1 1 
5,(0. -3) (0. -2) (0. -1) (0. 0) (0. 1) ,9 4 1 0 1 ,3 2 1 0 1 
6,(0. -2) (0. -1) (1. -1) (0. 0) (1. 0) (0. 1) ,4 1 2 0 1 1 ,2 1 1.41421 0 1 1 
6,(-1. -1) (0. -1) (1. -1) (0. 0) (1. 0) (0. 1) ,2 1 2 0 1 1 ,1.41421 1 1.41421 0 1 1 
6,(0. -1) (1. -1) (2. -1) (0. 0) (1. 0) (0. 1) ,1 2 5 0 1 1 ,1 1.41421 2.23607 0 1 1 
6,(1. -2) (0. -1) (1. -1) (0. 0) (1. 0) (0. 1) ,5 1 2 0 1 1 ,2.23607 1 1.41421 0 1 1 
6,(0. -1) (1. -1) (-1. 0) (0. 0) (1. 0) (0. 1) ,1 2 1 0 1 1 ,1 1.41421 1 0 1 1 
6,(0. -1) (1. -1) (0. 0) (1. 0) (0. 1) (1. 1) ,1 2 0 1 1 2 ,1 1.41421 0 1 1 1.41421 
6,(0. -1) (1. -1) (0. 0) (1. 0) (0. 1) (0. 2) ,1 2 0 1 1 4 ,1 1.41421 0 1 1 2 
6,(0. -1) (1. -1) (0. 0) (1. 0) (-1. 1) (0. 1) ,1 2 0 1 2 1 ,1 1.41421 0 1 1.41421 1 
6,(0. -2) (1. -2) (0. -1) (0. 0) (1. 0) (0. 1) ,4 5 1 0 1 1 ,2 2.23607 1 0 1 1 
6,(0. -3) (0. -2) (0. -1) (0. 0) (1. 0) (0. 1) ,9 4 1 0 1 1 ,3 2 1 0 1 1 
6,(-1. -2) (0. -2) (0. -1) (0. 0) (1. 0) (0. 1) ,5 4 1 0 1 1 ,2.23607 2 1 0 1 1 
6,(0. -2) (-1. -1) (0. -1) (0. 0) (1. 0) (0. 1) ,4 2 1 0 1 1 ,2 1.41421 1 0 1 1 
6,(0. -2) (0. -1) (-1. 0) (0. 0) (1. 0) (0. 1) ,4 1 1 0 1 1 ,2 1 1 0 1 1 
6,(0. -2) (0. -1) (0. 0) (1. 0) (2. 0) (0. 1) ,4 1 0 1 4 1 ,2 1 0 1 2 1 
6,(0. -2) (0. -1) (0. 0) (1. 0) (0. 1) (0. 2) ,4 1 0 1 1 4 ,2 1 0 1 1 2 
6,(0. -2) (0. -1) (0. 0) (1. 0) (-1. 1) (0. 1) ,4 1 0 1 2 1 ,2 1 0 1 1.41421 1 
6,(-1. -2) (-1. -1) (0. -1) (0. 0) (1. 0) (0. 1) ,5 2 1 0 1 1 ,2.23607 1.41421 1 0 1 1 
6,(-2. -1) (-1. -1) (0. -1) (0. 0) (1. 0) (0. 1) ,5 2 1 0 1 1 ,2.23607 1.41421 1 0 1 1 
6,(-1. -1) (0. -1) (0. 0) (1. 0) (2. 0) (0. 1) ,2 1 0 1 4 1 ,1.41421 1 0 1 2 1 
6,(-1. -1) (0. -1) (0. 0) (1. 0) (-1. 1) (0. 1) ,2 1 0 1 2 1 ,1.41421 1 0 1 1.41421 1 
6,(0. -1) (0. 0) (1. 0) (2. 0) (0. 1) (2. 1) ,1 0 1 4 1 5 ,1 0 1 2 1 2.23607 
6,(0. -1) (0. 0) (1. 0) (2. 0) (3. 0) (0. 1) ,1 0 1 4 9 1 ,1 0 1 2 3 1 
6,(0. 0) (1. 0) (2. 0) (0. 1) (2. 1) (0. 2) ,0 1 4 1 5 4 ,0 1 2 1 2.23607 2 
6,(0. 0) (1. 0) (2. 0) (-1. 1) (0. 1) (2. 1) ,0 1 4 2 1 5 ,0 1 2 1.41421 1 2.23607 
6,(0. 0) (1. 0) (2. 0) (3. 0) (0. 1) (3. 1) ,0 1 4 9 1 10 ,0 1 2 3 1 3.16228 
6,(0. 0) (1. 0) (2. 0) (3. 0) (4. 0) (0. 1) ,0 1 4 9 16 1 ,0 1 2 3 4 1 
6,(3. -1) (0. 0) (1. 0) (2. 0) (3. 0) (0. 1) ,10 0 1 4 9 1 ,3.16228 0 1 2 3 1 
6,(0. 0) (1. 0) (2. 0) (3. 0) (0. 1) (0. 2) ,0 1 4 9 1 4 ,0 1 2 3 1 2 
6,(0. 0) (1. 0) (2. 0) (3. 0) (-1. 1) (0. 1) ,0 1 4 9 2 1 ,0 1 2 3 1.41421 1 
6,(2. -1) (3. -1) (0. 0) (1. 0) (2. 0) (0. 1) ,5 10 0 1 4 1 ,2.23607 3.16228 0 1 2 1 
6,(2. -2) (2. -1) (0. 0) (1. 0) (2. 0) (0. 1) ,8 5 0 1 4 1 ,2.82843 2.23607 0 1 2 1 
6,(0. 0) (1. 0) (2. 0) (-1. 1) (0. 1) (-1. 2) ,0 1 4 2 1 5 ,0 1 2 1.41421 1 2.23607 
6,(0. 0) (1. 0) (2. 0) (-2. 1) (-1. 1) (0. 1) ,0 1 4 5 2 1 ,0 1 2 2.23607 1.41421 1 
6,(2. -2) (1. -1) (2. -1) (0. 0) (1. 0) (0. 1) ,8 2 5 0 1 1 ,2.82843 1.41421 2.23607 0 1 1 
6,(0. -4) (0. -3) (0. -2) (0. -1) (0. 0) (0. 1) ,16 9 4 1 0 1 ,4 3 2 1 0 1 
